Filename,Dataset,Shape,Spacing,Shape_OK,Affine_OK,Binary_OK,Positive_Voxels
BHSD_0021.nii.gz,BHSD,"(512, 512, 38)","(0.4949, 0.4949, 5.0)",True,True,False,46916
BHSD_0022.nii.gz,BHSD,"(512, 512, 32)","(0.41210938, 0.41210938, 5.0)",True,True,False,186
BHSD_0023.nii.gz,BHSD,"(512, 512, 38)","(0.488281, 0.488281, 2.5)",True,True,False,26852
BHSD_0024.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.1530004)",True,True,False,4865
BHSD_0025.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3039994)",True,True,False,34142
BHSD_0026.nii.gz,BHSD,"(512, 512, 42)","(0.49475098, 0.49475098, 5.0)",True,True,False,335207
BHSD_0027.nii.gz,BHSD,"(512, 512, 30)","(0.4949, 0.4949, 5.0)",True,True,False,75050
BHSD_0028.nii.gz,BHSD,"(512, 512, 32)","(0.40820312, 0.40820312, 5.0)",True,True,False,295321
BHSD_0029.nii.gz,BHSD,"(512, 512, 32)","(0.44335938, 0.44335938, 5.2148438)",True,True,True,11116
BHSD_0030.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.1024323)",True,True,False,12024
BHSD_0031.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.17638)",True,True,False,2514
BHSD_0032.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.272461)",True,True,False,347930
BHSD_0033.nii.gz,BHSD,"(512, 512, 37)","(0.43164062, 0.43164062, 5.0)",True,True,False,4166
BHSD_0034.nii.gz,BHSD,"(512, 512, 34)","(0.4375, 0.4375, 5.0)",True,True,False,3819
BHSD_0035.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.043144)",True,True,False,92899
BHSD_0036.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3929996)",True,True,False,728120
BHSD_0037.nii.gz,BHSD,"(512, 512, 24)","(0.58203125, 0.58203125, 6.157837)",True,True,False,4676
BHSD_0038.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.17638)",True,True,False,37908
BHSD_0039.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.5168457)",True,True,False,131879
BHSD_0040.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.4731445)",True,True,False,20604
BHSD_0041.nii.gz,BHSD,"(512, 512, 30)","(0.494863, 0.494863, 5.0)",True,True,False,1881
BHSD_0042.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 2.6073723)",True,True,False,14655
BHSD_0043.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.6069984)",True,True,False,29724
BHSD_0044.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 2.5509987)",True,True,False,99995
BHSD_0045.nii.gz,BHSD,"(512, 512, 30)","(0.46875, 0.46875, 5.1314697)",True,True,False,95372
BHSD_0046.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.392673)",True,True,True,2376
BHSD_0047.nii.gz,BHSD,"(512, 512, 34)","(0.44726562, 0.44726562, 5.0)",True,True,False,10412
BHSD_0048.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.3926773)",True,True,False,94445
BHSD_0049.nii.gz,BHSD,"(512, 512, 32)","(0.49475098, 0.49475098, 5.0)",True,True,False,19070
BHSD_0050.nii.gz,BHSD,"(512, 512, 24)","(0.48828125, 0.48828125, 6.5181885)",True,True,False,460
BHSD_0051.nii.gz,BHSD,"(512, 512, 38)","(0.49475098, 0.49475098, 5.0)",True,True,False,52530
BHSD_0052.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.0)",True,True,False,146500
BHSD_0053.nii.gz,BHSD,"(512, 512, 30)","(0.43164062, 0.43164062, 5.164551)",True,True,False,44945
BHSD_0054.nii.gz,BHSD,"(512, 512, 34)","(0.494863, 0.494863, 5.0)",True,True,False,55114
BHSD_0055.nii.gz,BHSD,"(512, 512, 46)","(0.49475098, 0.49475098, 5.0)",True,True,False,130010
BHSD_0056.nii.gz,BHSD,"(512, 512, 32)","(0.49475098, 0.49475098, 5.0)",True,True,False,16636
BHSD_0057.nii.gz,BHSD,"(512, 512, 36)","(0.43164062, 0.43164062, 5.0)",True,True,False,12430
BHSD_0058.nii.gz,BHSD,"(512, 512, 30)","(0.40234375, 0.40234375, 5.043091)",True,True,False,53786
BHSD_0059.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.0)",True,True,False,26567
BHSD_0060.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.1419992)",True,True,False,83525
BHSD_0061.nii.gz,BHSD,"(512, 512, 48)","(0.488281, 0.488281, 0.5)",True,True,False,152434
BHSD_0062.nii.gz,BHSD,"(512, 512, 38)","(0.46289062, 0.46289062, 5.0)",True,True,False,59146
BHSD_0063.nii.gz,BHSD,"(512, 512, 34)","(0.4949, 0.4949, 5.0)",True,True,False,50331
BHSD_0064.nii.gz,BHSD,"(512, 512, 34)","(0.494863, 0.494863, 5.0)",True,True,True,31509
BHSD_0065.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.6109996)",True,True,False,68082
BHSD_0066.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.6963387)",True,True,True,26310
BHSD_0067.nii.gz,BHSD,"(512, 512, 34)","(0.49475098, 0.49475098, 5.0)",True,True,False,26106
BHSD_0068.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.3740234)",True,True,False,64734
BHSD_0069.nii.gz,BHSD,"(512, 512, 60)","(0.488281, 0.488281, 2.5830002)",True,True,False,43736
BHSD_0070.nii.gz,BHSD,"(512, 512, 46)","(0.49475098, 0.49475098, 5.0)",True,True,False,234583
BHSD_0071.nii.gz,BHSD,"(512, 512, 39)","(0.48828125, 0.48828125, 5.0)",True,True,False,129248
BHSD_0072.nii.gz,BHSD,"(512, 512, 28)","(0.5332031, 0.5332031, 6.291168)",True,True,False,29177
BHSD_0073.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.392578)",True,True,False,845572
BHSD_0074.nii.gz,BHSD,"(512, 512, 34)","(0.48828125, 0.48828125, 5.1762695)",True,True,True,3909
BHSD_0075.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.121397)",True,True,True,2612
BHSD_0076.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.1120033)",True,True,False,9058
BHSD_0077.nii.gz,BHSD,"(512, 512, 30)","(0.42382812, 0.42382812, 5.0)",True,True,False,44056
BHSD_0078.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.0700006)",True,True,False,4376
BHSD_0079.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.5)",True,True,False,176
BHSD_0080.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.0)",True,True,False,35346
BHSD_0081.nii.gz,BHSD,"(512, 512, 30)","(0.68359375, 0.68359375, 5.018729)",True,False,False,3134
BHSD_0082.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.201)",True,True,False,25961
BHSD_0083.nii.gz,BHSD,"(512, 512, 32)","(0.55859375, 0.55859375, 5.716797)",True,True,False,57119
BHSD_0084.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.288)",True,True,False,166642
BHSD_0085.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.392578)",True,True,False,235724
BHSD_0086.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.3738937)",True,True,True,104059
BHSD_0087.nii.gz,BHSD,"(512, 512, 34)","(0.5371094, 0.5371094, 5.304199)",True,True,False,76252
BHSD_0088.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3926735)",True,True,False,40015
BHSD_0089.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 2.6869965)",True,True,False,34583
BHSD_0090.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.7060003)",True,True,False,13399
BHSD_0091.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.049)",True,True,False,57195
BHSD_0092.nii.gz,BHSD,"(512, 512, 34)","(0.494863, 0.494863, 5.0)",True,True,False,6298
BHSD_0093.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.0)",True,True,False,99207
BHSD_0094.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.547)",True,True,True,8151
BHSD_0095.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3926735)",True,True,False,161934
BHSD_0096.nii.gz,BHSD,"(512, 512, 36)","(0.494863, 0.494863, 5.0)",True,True,False,7231
BHSD_0097.nii.gz,BHSD,"(512, 512, 40)","(0.49475098, 0.49475098, 5.0)",True,True,False,212160
BHSD_0098.nii.gz,BHSD,"(512, 512, 28)","(0.625, 0.625, 6.0)",True,True,True,7781
BHSD_0099.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.0)",True,False,False,50320
BHSD_0100.nii.gz,BHSD,"(512, 512, 32)","(0.427734, 0.427734, 5.0)",True,True,False,21453
BHSD_0101.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.6963348)",True,True,False,1408
BHSD_0102.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.392673)",True,True,False,27884
BHSD_0103.nii.gz,BHSD,"(512, 512, 28)","(0.53515625, 0.53515625, 6.0)",True,True,False,29656
BHSD_0104.nii.gz,BHSD,"(512, 512, 30)","(0.42578125, 0.42578125, 5.0)",True,True,False,4830
BHSD_0105.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.3926735)",True,True,False,74681
BHSD_0106.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3926735)",True,True,False,34520
BHSD_0107.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.3926735)",True,True,False,125635
BHSD_0108.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.214999)",True,True,False,15110
BHSD_0109.nii.gz,BHSD,"(512, 512, 35)","(0.48828125, 0.48828125, 5.0)",True,True,False,184
BHSD_0110.nii.gz,BHSD,"(512, 512, 28)","(0.48828125, 0.48828125, 6.4487305)",True,True,False,436840
BHSD_0111.nii.gz,BHSD,"(512, 512, 46)","(0.49475098, 0.49475098, 5.0)",True,True,False,129397
BHSD_0112.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.0)",True,True,False,143110
BHSD_0113.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.0623255)",True,True,False,2804
BHSD_0114.nii.gz,BHSD,"(512, 512, 32)","(0.494863, 0.494863, 5.0)",True,True,False,2007
BHSD_0115.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3926735)",True,True,False,13246
BHSD_0116.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.6139984)",True,True,False,202249
BHSD_0117.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 2.5311632)",True,True,False,756
BHSD_0118.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.288001)",True,True,False,45103
BHSD_0119.nii.gz,BHSD,"(512, 512, 44)","(0.49475098, 0.49475098, 5.0)",True,True,False,221213
BHSD_0120.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.5168304)",True,True,False,3682
BHSD_0121.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.563)",True,True,False,211640
BHSD_0122.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.1210003)",True,True,False,15568
BHSD_0123.nii.gz,BHSD,"(512, 512, 35)","(0.48828125, 0.48828125, 5.0)",True,True,False,327112
BHSD_0124.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.272461)",True,True,False,96332
BHSD_0125.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.2147217)",True,True,False,364
BHSD_0126.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.188999)",True,True,False,18321
BHSD_0127.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.201477)",True,True,False,894
BHSD_0128.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.0)",True,True,False,52338
BHSD_0129.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.431885)",True,True,False,51969
BHSD_0130.nii.gz,BHSD,"(512, 512, 30)","(0.40234375, 0.40234375, 5.0)",True,True,False,318373
BHSD_0131.nii.gz,BHSD,"(512, 512, 38)","(0.488281, 0.488281, 2.576538)",True,True,True,684
BHSD_0132.nii.gz,BHSD,"(512, 512, 24)","(0.48828125, 0.48828125, 6.42688)",True,True,False,50198
BHSD_0133.nii.gz,BHSD,"(512, 512, 33)","(0.48828125, 0.48828125, 5.0)",True,True,False,166013
BHSD_0134.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.4519997)",True,True,False,861
BHSD_0135.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.320801)",True,True,False,480
BHSD_0136.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.243)",True,True,False,224150
BHSD_0137.nii.gz,BHSD,"(512, 512, 32)","(0.398438, 0.398438, 5.142)",True,True,False,26592
BHSD_0138.nii.gz,BHSD,"(512, 512, 32)","(0.49475098, 0.49475098, 5.0)",True,True,False,108245
BHSD_0139.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.0)",True,True,False,54028
BHSD_0140.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.586975)",True,True,False,19358
BHSD_0141.nii.gz,BHSD,"(512, 512, 38)","(0.48828125, 0.48828125, 5.0)",True,True,False,13833
BHSD_0142.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.0)",True,True,False,57453
BHSD_0143.nii.gz,BHSD,"(512, 512, 42)","(0.49475098, 0.49475098, 5.0)",True,True,False,130221
BHSD_0144.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.4729996)",True,True,False,2956
BHSD_0145.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.215)",True,True,False,123414
BHSD_0146.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.0)",True,True,False,83404
BHSD_0147.nii.gz,BHSD,"(512, 512, 33)","(0.48828125, 0.48828125, 5.0)",True,True,False,41412
BHSD_0148.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.6599998)",True,True,False,110167
BHSD_0149.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.431885)",True,True,False,166152
BHSD_0150.nii.gz,BHSD,"(512, 512, 36)","(0.44335938, 0.44335938, 5.0)",True,True,False,31581
BHSD_0151.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.0)",True,True,False,28752
BHSD_0152.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.5629997)",True,True,False,50400
BHSD_0153.nii.gz,BHSD,"(512, 512, 38)","(0.494863, 0.494863, 5.0)",True,True,False,160734
BHSD_0154.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.304001)",True,True,False,387996
BHSD_0155.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.0094843)",True,False,False,51822
BHSD_0156.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.1210003)",True,True,False,256845
BHSD_0157.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.0)",True,True,False,5882
BHSD_0158.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.431885)",True,True,False,22531
BHSD_0159.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.431885)",True,True,False,3584
BHSD_0160.nii.gz,BHSD,"(512, 512, 38)","(0.488281, 0.488281, 2.6362305)",True,True,False,4845
BHSD_0161.nii.gz,BHSD,"(512, 512, 32)","(0.49475098, 0.49475098, 5.0)",True,True,False,395674
BHSD_0162.nii.gz,BHSD,"(512, 512, 35)","(0.5136719, 0.5136719, 5.0)",True,True,False,2196
BHSD_0163.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.3740005)",True,True,False,16196
BHSD_0164.nii.gz,BHSD,"(512, 512, 34)","(0.49475098, 0.49475098, 5.0)",True,True,False,59370
BHSD_0165.nii.gz,BHSD,"(512, 512, 36)","(0.48828125, 0.48828125, 5.0)",True,True,False,356
BHSD_0166.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.571)",True,True,False,28571
BHSD_0167.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.093584)",True,True,False,99063
BHSD_0168.nii.gz,BHSD,"(512, 512, 33)","(0.48828125, 0.48828125, 5.0)",True,True,False,1636
BHSD_0169.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.288086)",True,True,False,4208
BHSD_0170.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.0940003)",True,True,False,190569
BHSD_0171.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.7939987)",True,True,False,26120
BHSD_0172.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.257)",True,True,False,92908
BHSD_0173.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.373932)",True,True,False,65624
BHSD_0174.nii.gz,BHSD,"(512, 512, 30)","(0.488281, 0.488281, 5.3926773)",True,True,False,241764
BHSD_0175.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.14209)",True,True,False,16931
BHSD_0176.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.0429993)",True,True,False,78401
BHSD_0177.nii.gz,BHSD,"(512, 512, 32)","(0.48632812, 0.48632812, 5.5168457)",True,True,False,56410
BHSD_0178.nii.gz,BHSD,"(512, 512, 34)","(0.49475098, 0.49475098, 5.0)",True,True,False,7814
BHSD_0179.nii.gz,BHSD,"(512, 512, 32)","(0.371094, 0.371094, 5.0)",True,True,False,39558
BHSD_0180.nii.gz,BHSD,"(512, 512, 38)","(0.49475098, 0.49475098, 5.0)",True,True,False,175975
BHSD_0181.nii.gz,BHSD,"(512, 512, 39)","(0.48828125, 0.48828125, 5.0)",True,True,False,90283
BHSD_0182.nii.gz,BHSD,"(512, 512, 38)","(0.49475098, 0.49475098, 5.0)",True,True,False,257869
BHSD_0183.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.215)",True,True,False,168512
BHSD_0184.nii.gz,BHSD,"(512, 512, 34)","(0.48828125, 0.48828125, 5.0)",True,True,False,24120
BHSD_0185.nii.gz,BHSD,"(512, 512, 32)","(0.51953125, 0.51953125, 5.4731445)",True,True,False,113768
BHSD_0186.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3926697)",True,True,False,58172
BHSD_0187.nii.gz,BHSD,"(512, 512, 34)","(0.46679688, 0.46679688, 5.0)",True,True,False,3448
BHSD_0188.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 2.6959991)",True,True,False,389515
BHSD_0189.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.2580004)",True,True,False,257006
BHSD_0190.nii.gz,BHSD,"(512, 512, 29)","(0.40429688, 0.40429688, 5.0)",True,True,False,140970
BHSD_0191.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.3926735)",True,True,False,39282
BHSD_0192.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.0)",True,True,False,4892
CQ500_0001.nii.gz,CQ500,"(512, 512, 224)","(0.464844, 0.46484396, 0.63124216)",True,True,True,23118
CQ500_0002.nii.gz,CQ500,"(512, 512, 256)","(0.496094, 0.49609387, 0.68415684)",True,True,True,2930417
CQ500_0003.nii.gz,CQ500,"(512, 512, 272)","(0.46875, 0.46875006, 0.63031733)",True,True,True,33167
CQ500_0004.nii.gz,CQ500,"(512, 512, 288)","(0.488281, 0.48828092, 0.6278188)",True,True,True,3891
CQ500_0005.nii.gz,CQ500,"(512, 512, 32)","(0.625, 0.62500024, 5.164516)",True,False,True,2079
CQ500_0006.nii.gz,CQ500,"(512, 512, 233)","(0.464844, 0.464844, 0.625)",True,True,True,197641
CQ500_0007.nii.gz,CQ500,"(512, 512, 244)","(0.441406, 0.441406, 0.625)",True,True,True,23186
CQ500_0008.nii.gz,CQ500,"(512, 512, 256)","(0.474609, 0.474609, 0.62500393)",True,True,True,156553
CQ500_0009.nii.gz,CQ500,"(512, 512, 220)","(0.482422, 0.482422, 0.6250046)",True,True,True,138016
CQ500_0010.nii.gz,CQ500,"(512, 512, 256)","(0.525391, 0.5253909, 0.63668627)",True,True,True,39091
CQ500_0011.nii.gz,CQ500,"(512, 512, 32)","(0.501953, 0.5019532, 5.164516)",True,False,True,30387
CQ500_0012.nii.gz,CQ500,"(512, 512, 256)","(0.488281, 0.48828116, 0.6651255)",True,True,True,236255
CQ500_0013.nii.gz,CQ500,"(512, 512, 243)","(0.490234, 0.490234, 0.625)",True,True,True,26758
CQ500_0014.nii.gz,CQ500,"(512, 512, 352)","(0.488281, 0.488281, 0.62500286)",True,True,True,45845
CQ500_0015.nii.gz,CQ500,"(512, 512, 256)","(0.46875, 0.46875, 0.62500393)",True,True,True,17626
CQ500_0016.nii.gz,CQ500,"(512, 512, 224)","(0.460938, 0.46093807, 0.6290628)",True,False,True,392971
CQ500_0017.nii.gz,CQ500,"(512, 512, 256)","(0.488281, 0.4882809, 0.6296902)",True,True,True,3647
CQ500_0018.nii.gz,CQ500,"(512, 512, 256)","(0.447266, 0.44726622, 0.62593335)",True,True,True,48791
CQ500_0019.nii.gz,CQ500,"(512, 512, 224)","(0.488281, 0.48828104, 0.6553453)",True,True,True,124046
CQ500_0020.nii.gz,CQ500,"(512, 512, 32)","(0.488281, 0.48828095, 5.049226)",True,True,True,462
CQ500_0021.nii.gz,CQ500,"(512, 512, 325)","(0.615234, 0.615234, 0.5)",True,True,True,443951
CQ500_0022.nii.gz,CQ500,"(512, 512, 240)","(0.445312, 0.44531193, 0.636569)",True,True,True,49341
CQ500_0023.nii.gz,CQ500,"(512, 512, 240)","(0.488281, 0.488281, 0.6250042)",True,True,True,360745
CQ500_0024.nii.gz,CQ500,"(512, 512, 224)","(0.488281, 0.48828122, 0.6389641)",True,True,True,138631
CQ500_0025.nii.gz,CQ500,"(512, 512, 288)","(0.521484, 0.521484, 0.62500346)",True,True,True,243031
CQ500_0026.nii.gz,CQ500,"(512, 512, 32)","(0.488281, 0.48828104, 5.121484)",True,True,True,7573
CQ500_0027.nii.gz,CQ500,"(512, 512, 240)","(0.488281, 0.488281, 0.6250042)",True,True,True,42393
CQ500_0028.nii.gz,CQ500,"(512, 512, 256)","(0.482422, 0.4824219, 0.6278196)",True,True,True,472071
CQ500_0029.nii.gz,CQ500,"(512, 512, 51)","(0.488281, 0.488281, 3.0)",True,True,True,9906
CQ500_0030.nii.gz,CQ500,"(512, 512, 256)","(0.507812, 0.5078119, 0.6296902)",True,True,True,95113
CQ500_0031.nii.gz,CQ500,"(512, 512, 240)","(0.488281, 0.48828116, 0.6378117)",True,True,True,5195
CQ500_0032.nii.gz,CQ500,"(512, 512, 256)","(0.488281, 0.48828095, 0.6265294)",True,True,True,201970
CQ500_0033.nii.gz,CQ500,"(512, 512, 288)","(0.490234, 0.490234, 0.62500346)",True,True,True,2074
CQ500_0034.nii.gz,CQ500,"(512, 512, 288)","(0.5625, 0.56250006, 0.63193727)",True,True,True,316678
CQ500_0035.nii.gz,CQ500,"(512, 512, 288)","(0.541016, 0.5410159, 0.6366864)",True,True,True,99550
CQ500_0036.nii.gz,CQ500,"(512, 512, 261)","(0.445312, 0.445312, 0.625)",True,True,True,343546
CQ500_0037.nii.gz,CQ500,"(512, 512, 233)","(0.488281, 0.488281, 0.625)",True,True,True,753741
CQ500_0038.nii.gz,CQ500,"(512, 512, 240)","(0.441406, 0.441406, 0.625)",True,True,True,49719
CQ500_0039.nii.gz,CQ500,"(512, 512, 224)","(0.488281, 0.4882808, 0.6694664)",True,False,True,433937
CQ500_0040.nii.gz,CQ500,"(512, 512, 288)","(0.488281, 0.48828116, 0.645561)",True,False,True,208042
CQ500_0041.nii.gz,CQ500,"(512, 512, 237)","(0.451172, 0.451172, 0.625)",True,True,True,11669
CQ500_0042.nii.gz,CQ500,"(512, 512, 288)","(0.488281, 0.48828107, 0.6290348)",True,True,True,218494
CQ500_0043.nii.gz,CQ500,"(512, 512, 256)","(0.488281, 0.48828104, 0.63040394)",True,True,True,24718
CQ500_0044.nii.gz,CQ500,"(512, 512, 256)","(0.488281, 0.48828104, 0.63040394)",True,True,True,73091
